dataset IDTW Inf IP ISD LCSS LLR_DLS LLR_LK LNP MAN MIN MPdist NCD NP P PACF PC2 PDC PIC SAX SDTW shapeDTWHOG1D shapeDTWRawSub STS TAM TDCDTW TDHDTW TDSDTW TQ
ProximalPhalanxOutlineCorrect 25.4 18.9 25.8 25.4 31.6 21.6 21.6 19.2 21.6 17.2 14.8 30.2 26.8 26.8 15.5 19.2 35.7 30.2 41.9 19.2 20.6 19.2 15.5 27.8 21.6 22.7 21.6 38.8
ProximalPhalanxTW 28.3 32.2 30.7 32.7 99.0 25.9 25.9 36.6 30.7 30.7 28.5 65.4 31.7 31.7 25.4 29.3 34.6 43.9 71.7 29.8 23.4 26.3 24.4 28.3 24.4 24.4 24.4 39.5
RefrigerationDevices 59.7 63.5 53.9 56.5 53.9 60.0 60.0 58.4 54.1 65.9 50.1 67.5 58.4 58.4 61.3 60.5 48.3 58.9 69.1 57.1 50.7 54.9 66.9 52.5 52.8 53.6 50.9 59.5
Rock 54.0 16.0 34.0 44.0 30.0 40.0 40.0 34.0 20.0 16.0 22.0 64.0 44.0 44.0 32.0 16.0 44.0 40.0 18.0 24.0 20.0 24.0 10.0 22.0 24.0 40.0 40.0 44.0
ScreenType 63.5 66.9 54.4 49.6 64.3 46.7 46.7 60.8 64.0 67.5 66.9 63.7 64.8 64.8 62.1 64.0 52.8 60.3 60.5 63.2 52.5 61.1 65.3 64.0 60.3 61.3 61.6 60.3
SemgHandGenderCh2 20.5 30.5 41.2 35.2 53.2 35.2 35.2 42.5 43.0 23.2 23.8 48.0 26.0 26.0 44.0 23.8 49.0 45.8 51.5 24.5 11.3 29.3 58.7 13.8 16.5 13.5 16.5 20.5
SemgHandMovementCh2 43.1 60.7 69.1 69.8 77.1 73.6 73.6 80.7 69.8 55.8 66.0 75.8 49.8 49.8 71.1 63.1 83.3 78.4 69.6 47.8 38.7 68.7 78.0 46.9 36.7 33.3 37.3 54.2
SemgHandSubjectCh2 26.0 46.4 55.8 55.1 67.6 54.2 54.2 74.2 67.3 49.1 59.6 72.7 44.0 44.0 66.0 59.6 81.8 69.1 69.3 30.4 17.1 56.9 77.8 25.8 23.1 14.9 21.6 32.7
ShakeGestureWiimoteZ 38.0 62.0 36.0 58.0 18.0 54.0 54.0 62.0 30.0 42.0 20.0 76.0 32.0 32.0 46.0 40.0 68.0 78.0 62.0 28.0 18.0 12.0 78.0 30.0 14.0 12.0 14.0 46.0
ShapeletSim 47.2 51.7 8.3 9.4 15.6 7.8 7.8 40.6 52.2 50.0 25.0 35.0 27.8 27.8 18.3 46.1 2.8 15.0 46.1 39.4 2.8 32.8 55.0 4.4 30.6 34.4 33.9 38.3
ShapesAll 41.7 28.2 32.3 60.0 47.5 53.3 53.3 66.8 24.0 24.7 21.2 92.8 36.5 36.5 62.0 24.8 68.2 78.7 46.5 31.3 11.2 16.3 47.0 21.8 18.8 21.0 18.7 33.8
SmallKitchenAppliances 36.5 61.1 56.3 51.2 70.1 52.8 52.8 61.3 60.3 67.5 48.5 40.3 60.0 60.0 58.1 65.9 24.3 56.8 69.9 54.7 30.1 36.3 66.4 38.7 34.9 34.4 34.7 45.9
SmoothSubspace 20.0 42.0 67.3 36.4 22.0 36.5 0.0 63.3 4.0 18.7 52.0 60.0 60.7 60.7 50.0 9.3 48.7 57.3 56.0 32.0 22.7 19.3 20.0 8.7 18.0 14.0 17.3 25.3
SonyAIBORobotSurface1 27.1 31.3 22.5 12.1 29.1 17.0 17.0 28.0 31.3 28.8 30.6 43.9 39.4 39.4 31.6 30.4 49.1 27.0 38.3 37.4 19.3 26.1 31.6 23.0 31.6 27.9 27.4 38.8
SonyAIBORobotSurface2 19.7 21.7 12.7 14.0 16.4 12.3 12.3 17.9 13.2 16.1 13.3 42.8 20.7 20.7 23.3 14.1 37.1 16.1 18.6 16.9 17.4 13.6 16.8 17.7 18.1 18.5 16.9 16.9
StarLightCurves 13.8 15.9 7.1 17.4 17.3 22.0 22.0 23.5 14.7 15.3 13.7 34.4 14.6 14.6 20.1 15.1 25.6 54.4 20.0 12.1 5.0 13.2 23.9 25.8 9.6 8.5 9.6 17.9
Strawberry 10.3 8.9 7.3 18.1 35.7 11.6 11.6 15.1 5.1 6.2 5.1 46.5 9.2 9.2 7.8 5.4 33.8 22.2 48.4 5.4 4.6 6.2 4.6 5.1 5.7 5.7 5.4 10.3
